Rank,Title,Artist,Last Week,Peak Position,Weeks on Chart
1,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",1,1,10
,Ordinary,Alex Warren,,,
,What I Want,Morgan WallenFeaturingTate McRae,,,
,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,,
,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",,,
,Love Me Not,Ravyn Lenae,,,
,Manchild,Sabrina Carpenter,,,
,Lose Control,Teddy Swims,,,
,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Die With A Smile,Lady Gaga&Bruno Mars,,,
,Daisies,Justin Bieber,,,
,Just In Case,Morgan Wallen,,,
,A Bar Song (Tipsy),Shaboozey,,,
,Good News,Shaboozey,,,
,Mutt,Leon Thomas,,,
,I'm The Problem,Morgan Wallen,,,
,Beautiful Things,Benson Boone,,,
,I Got Better,Morgan Wallen,,,
,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,Pink Pony Club,Chappell Roan,,,
,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",,,
,All The Way,BigXthaPlug FeaturingBailey Zimmerman,,,
,Free,"Rumi, JINU, EJAE & Andrew Choi",,,
,Undressed,sombr,,,
,Birds Of A Feather,Billie Eilish,,,
,Luther,Kendrick Lamar&SZA,,,
,Mystical Magical,Benson Boone,,,
,Jealous Type,Doja Cat,,,
,Burning Blue,Mariah the Scientist,,,
,Backup Plan,Bailey Zimmerman&Luke Combs,,,
,Back To Friends,sombr,,,
,Sorry I'm Here For Someone Else,Benson Boone,,,
,Yukon,Justin Bieber,,,
,It Depends,Chris BrownFeaturingBryson Tiller,,,
,Hell At Night,BigXthaPlug Featuring Ella Langley,,,
,The Subway,Chappell Roan,,,
,Folded,Kehlani,,,
,Happen To Me,Russell Dickerson,,,
,Blue Strips,jessie murph,,,
,Worst Way,Riley Green,,,
,30 For 30,SZAWithKendrick Lamar,,,
,After All The Bars Are Closed,Thomas Rhett,,,
,APT.,ROSE &Bruno Mars,,,
,Bar None,Jordan Davis,,,
,No Broke Boys,Disco Lines &Tinashe,,,
,Love Somebody,Morgan Wallen,,,
,Bottle Rockets,Scotty McCreery&Hootie & the Blowfish,,,
,What Did I Miss?,Drake,,,
,Back In The Saddle,Luke Combs,,,
,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",,,
,Strategy,Twice,,,
,Ceremony,Stray Kids,,,
,Sugar On My Tongue,"Tyler, the Creator",,,
,Somewhere Over Laredo,Lainey Wilson,,,
,6 Months Later,Megan Moroney,,,
,House Again,Hudson Westbrook,,,
,Wildflower,Billie Eilish,,,
,20 Cigarettes,Morgan Wallen,,,
,Is It A Crime,Mariah the Scientist&Kali Uchis,,,
,12 To 12,sombr,,,
,Box Me Up,BigXthaPlug FeaturingJelly Roll,,,
,Amen,Shaboozey&Jelly Roll,,,
,Gabriela,KATSEYE,,,
,Your Way's Better,Forrest Frank,,,
,Miami,Morgan WallenFeaturingLil Wayne&Rick Ross,,,
,Just Keep Watching,Tate McRae,,,
,Better Me For You (Brown Eyes),Max McNown,,,
,Party 4 U,Charli xcx,,,
,Don't Mind If I Do,Riley GreenFeaturing Ella Langley,,,
,Marlboro Rojo,Fuerza Regida,,,
,Revolving Door,Tate McRae,,,
,Shake It To The Max (Fly),"MOLIY, Silent Addy, Skillibeng & Shenseea",,,
,Different Species,Offset&Gunna,,,
,Outside,Cardi B,,,
,I Ain't Coming Back,Morgan WallenFeaturingPost Malone,,,
,Nice To Meet You,Myles Smith,,,
,Sparks,Coldplay,,,
,Jump,BLACKPINK,,,
,So Far So Fake,Pierce the Veil,,,
,Superman,Morgan Wallen,,,
,wgft,GunnaFeaturingBurna Boy,,,
,Man I Need,Olivia Dean,,,
,Eternity,Alex Warren,,,
,Which One,Drake& Central Cee,,,
,Last One To Know,Gavin Adcock,,,
,Heart Of Stone,Jelly Roll,,,
,Went Legit,G Herbo,,,
,Sacrifice,Mariah the Scientist,,,
,Frecuencia,Dareyes de La Sierra,,,
,Typa,Glorilla,,,
,Lover Girl,Laufey,,,
,Holy Water,Marshmello xJelly Roll,,,
,Let Down,Radiohead,,,
,Somebody,Latto,,,
,TN,Morgan Wallen,,,
,Ring Ring Ring,"Tyler, the Creator",,,
,Bloodline,Alex WarrenWithJelly Roll,,,
,Gnarly,KATSEYE,,,
,Tu Sancho,Fuerza Regida,,,
,What Kinda Man,Parker McCollum,,,
